,Sesvete,3,92600
243,Trešnjevka - Sjever,59,155480.0
244,Novi Zagreb - Istok,4,63410.0
245,Novi Zagreb - Zapad,122,195458.0
246,Trešnjevka - Sjever,56,146744.0
247,Trešnjevka - Sjever,47,119750.0
248,Trešnjevka - Sjever,176,484880.0
249,Novi Zagreb - Zapad,71,118008.0
250,Trešnjevka - Sjever,92,231800.0
251,Trešnjevka - Sjever,81,180136.0
252,Novi Zagreb - Zapad,64,108193.0
253,Trešnjevka - Sjever,45,119780.0
254,Trešnjevka - Sjever,55,144092.0
255,Trešnjevka - Sjever,111,300996.0
256,Novi Zagreb - Zapad,79,150556.0
257,Novi Zagreb - Istok,4,81546.0
258,Trešnjevka - Sjever,82,182138.0
259,Trešnjevka - Sjever,81,203975.0
260,Novi Zagreb - Istok,4,78953.0
261,Trnje,53,110000.0
262,Novi Zagreb - Zapad,76,146205.0
263,Donji Grad,1,390000.0
264,Novi Zagreb - Istok,4,80740.0
265,Novi Zagreb - Zapad,88,167447.0
266,Stenjevec,5,
267,Novi Zagreb - Zapad,93,166523.0
268,Trešnjevka - Sjever,2019,
269,Novi Zagreb - Istok,5,63278.0
270,Novi Zagreb - Zapad,63,121467.0
271,Novi Zagreb - Zapad,55,97527.0
272,Novi Zagreb - Zapad,54,97416.0
273,Stenjevec,63,69000.0
274,Donji Grad,3,295000.0
275,Novi Zagreb - Zapad,42,78033.0
276,Novi Zagreb - Zapad,65,124146.0
277,Novi Zagreb - Istok,4,109198.0
278,Donji Grad,2,429000.0
279,Novi Zagreb - Zapad,55,97527.0
280,Novi Zagreb - Zapad,55,90000.0
281,Novi Zagreb - Istok,4,104331.0
282,Novi Zagreb - Istok,4,94209.0
283,Novi Zagreb - Zapad,61,115995.0
284,Novi Zagreb - Zapad,35,59000.0
285,Donji Grad,35,70000.0
286,Donji Grad,3,115000.0
287,Maksimir,110,240000.0
288,Donji Grad,92,199000.0
289,Donji Grad,75,215000.0
290,Trnje,73,135000.0
291,Podsljeme,100,220000.0
292,Trešnjevka - Sjever,2019,
293,Zagreb - Okolica,3,155000.0
294,Trešnjevka - Sjever,33,55000.0
295,Stenjevec,56,120000.0
296,Trešnjevka - Sjever,107,210000.0
297,Novi Zagreb - Istok,4,104005.0
298,Trešnjevka - Jug,107,157000.0
299,Stenjevec,45,79000.0
300,Gornja Dubrava,3,134000.0
301,Trešnjevka - Sjever,70,109500.0
302,Trešnjevka - Sjever,83,115000.0
303,Trešnjevka - Jug,50,79500.0
304,Maksimir,156,350000.0
305,Donji Grad,131,279000.0
306,Donji Grad,79,210000.0
307,Donji Grad,7,180000.0
308,Trešnjevka - Sjever,2,135000.0
309,Stenjevec,5,
310,Novi Zagreb - Istok,53,77000.0
311,Trnje,66,132700.0
312,Podsljeme,84,154000.0
313,Donji Grad,45,110000.0
314,Trnje,7,180000.0
315,Trešnjevka - Sjever,59,131191.0
316,Maksimir,75,130000.0
317,Trešnjevka - Sjever,368,180136.0
318,Trešnjevka - Sjever,3,130988.0
319,Trešnjevka - Jug,78,138000.0
320,Sesvete,64,140790.0
321,Gornja Dubrava,38,55000.0
322,Novi Zagreb - Zapad,47,40000.0
323,Stenjevec,43,75000.0
324,Donji Grad,99,230000.0
325,Trešnjevka - Sjever,68,150370.0
326,Stenjevec,90,130000.0
327,Sesvete,42,91100.0
328,Trnje,64,130000.0
329,Donji Grad,71,210000.0
330,Trešnjevka - Sjever,83,175000.0
331,Maksimir,97,165000.0
332,Gornja Dubrava,140,138000.0
333,Maksimir,15,
334,Trešnjevka - Jug,1,85000.0
335,Maksimir,120,260000.0
336,Maksimir,100,235000.0
337,Gornja Dubrava,53,70000.0
338,Gornja Dubrava,49,70400.0
339,Trnje,59,110000.0
340,Donji Grad,29,80500.0
341,Trešnjevka - Jug,3,92000.0
342,Trešnjevka - Jug,63,130000.0
343,Maksimir,2,171000.0
344,Sesvete,77,114000.0
345,Sesvete,86,184000.0
346,Stenjevec,90,130000.0
347,Trešnjevka - Jug,73,124500.0
348,Trešnjevka - Jug,55,135000.0
349,Trešnjevka - Jug,53,85000.0
350,Novi Zagreb - Zapad,69,86000.0
351,Podsljeme,90,165000.0
352,Trešnjevka - Jug,70,148000.0
353,Donji Grad,1,195000.0
354,Trešnjevka - Jug,54,98000.0
355,Trešnjevka - Sjever,65,75000.0
356,Stenjevec,60,102170.0
357,Novi Zagreb - Zapad,4,54000.0
358,Stenjevec,87,149090.0
359,Stenjevec,86,146540.0
360,Novi Zagreb - Zapad,2,97000.0
361,Trešnjevka - Sjever,70,130000.0
362,Stenjevec,43,75000.0
363,Trešnjevka - Jug,64,104000.0
364,Trešnjevka - Jug,101,154000.0
365,Stenjevec,87,149090.0
366,Trešnjevka - Sjever,81,180136.0
367,Trešnjevka - Jug,106,277160.0
368,Trešnjevka - Sjever,90,199342.0
369,Donji Grad,60,188170.0
370,Stenjevec,62,60000.0
371,Novi Zagreb - Zapad,5,
372,Trešnjevka - Sjever,58,139368.0
373,Trešnjevka - Jug,84,145000.0
374,Trešnjevka - Sjever,38,87584.0
375,Trešnjevka - Sjever,115,196163.0
376,Trešnjevka - Sjever,61,135608.0
377,Trešnjevka - Sjever,74,130000.0
378,Trešnjevka - Sjever,35,80822.0
379,Trešnjevka - Jug,99,258622.0
380,Trešnjevka - Jug,115,264500.0
381,Trešnjevka - Sjever,82,182138.0
382,Novi Zagreb - Zapad,2,97000.0
383,Trešnjevka - Sjever,83,184536.0
384,Trešnjevka - Jug,52,137592.0
385,Podsljeme,103,172000.0
386,Donji Grad,124,250000.0
387,Trešnjevka - Sjever,82,181148.0
388,Stenjevec,68,116314.0
389,Donji Grad,168,265000.0
390,Maksimir,87,175180.0
391,Trešnjevka - Sjever,84,203640.0
392,Trešnjevka - Sjever,96,241000.0
393,Trešnjevka - Sjever,51,135070.0
394,Maksimir,150,170000.0
395,Donji Grad,92,288269.0
396,Trešnjevka - Sjever,71,186680.0
397,Trešnjevka - Sjever,2019,
398,Trešnjevka - Sjever,81,203000.0
399,Trešnjevka - Sjever,57,150410.0
400,Trešnjevka - Jug,131,169000.0
401,Trešnjevka - Sjever,45,86906.0
402,Trešnjevka - Sjever,95,181868.0
403,Novi Zagreb - Zapad,5,100000.0
404,Maksimir,115,205000.0
405,Podsljeme,106,175000.0
406,Maksimir,154,293100.0
407,Maksimir,248,400000.0
408,Maksimir,125,210000.0
409,Trešnjevka - Sjever,3,297700.0
410,Trešnjevka - Sjever,2019,
411,Donji Grad,65,200000.0
412,Maksimir,164,310000.0
413,Novi Zagreb - Istok,4,63410.0
414,Maksimir,160,190000.0
415,Stenjevec,1,1480.0
416,Podsljeme,161,275000.0
417,Stenjevec,1,137200.0
418,Maksimir,120,270000.0
419,Donji Grad,2,148000.0
420,Maksimir,98,235000.0
421,Gornja Dubrava,173,184000.0
422,Donji Grad,83,149400.0
423,Maksimir,108,180000.0
424,Trešnjevka - Jug,70,115000.0
425,Maksimir,2,169000.0
426,Trešnjevka - Sjever,2019,
427,Maksimir,97,160000.0
428,Novi Zagreb - Istok,4,63410.0
429,Podsljeme,1,160000.0
430,Donji Grad,51,166400.0
431,Trešnjevka - Sjever,3,189000.0
432,Maksimir,2,169000.0
433,Donji Grad,98,130000.0
434,Donji Grad,300,890000.0
435,Maksimir,2,302000.0
436,Podsljeme,360,520000.0
437,Donji Grad,1,195000.0
438,Maksimir,162,324000.0
439,Maksimir,1,240000.0
440,Podsljeme,142,230000.0
441,Donji Grad,5,314000.0
442,Maksimir,157,240000.0
443,Donji Grad,210,440000.0
444,Podsljeme,75,130000.0
445,Maksimir,136,147000.0
446,Donji Grad,33,72000.0
447,Podsljeme,108,90000.0
448,Maksimir,161,190000.0
449,Trešnjevka - Sjever,15,70000.0
450,Podsljeme,138,270000.0
451,Trešnjevka - Sjever,4,100000.0
452,Novi Zagreb - Zapad,8,87000.0
453,Maksimir,2,134500.0
454,Maksimir,2,335000.0
455,Trešnjevka - Jug,5,189000.0
456,Trešnjevka - Sjever,31,22500.0
457,Trešnjevka - Sjever,1,92999.0
458,Stenjevec,4,75000.0
459,Podsljeme,100,165000.0
460,Novi Zagreb - Istok,8,79000.0
461,Novi Zagreb - Zapad,5,
462,Maksimir,7,189000.0
463,Maksimir,289,270000.0
464,Trešnjevka - Jug,92,166000.0
465,Trešnjevka - Jug,122,175000.0
466,Trešnjevka - Sjever,3,115890.0
467,Trešnjevka - Jug,2,180000.0
468,Stenjevec,3,94900.0
469,Podsljeme,142,179000.0
470,Donji Grad,3,115000.0
471,Trešnjevka - Jug,132,169000.0
472,Maksimir,157,230000.0
473,Donji Grad,3,200000.0
474,Trnje,51,100000.0
475,Trnje,89,185000.0
476,Maksimir,167,360000.0
477,Stenjevec,71,118000.0
478,Maksimir,15,
479,Podsljeme,86,199500.0
480,Trešnjevka - Jug,44,72000.0
481,Stenjevec,4,95000.0
482,Zagreb - Okolica,620,120000.0
483,Gornji Grad - MedveÅ¡Äak,75,
484,Gornji Grad - MedveÅ¡Äak,110,225000.0
485,Gornji Grad - MedveÅ¡Äak,4,190000.0
486,Gornji Grad - MedveÅ¡Äak,110,225000.0
487,Gornji Grad - MedveÅ¡Äak,4,190000.0
488,Gornji Grad - MedveÅ¡Äak,1,365000.0
489,Gornji Grad - MedveÅ¡Äak,145,325000.0
490,TreÅ¡njevka - Jug,44,72000.0
491,Gornji Grad - MedveÅ¡Äak,1,370000.0
492,Gornji Grad - MedveÅ¡Äak,104,189000.0
493,Gornji Grad - MedveÅ¡Äak,56,120000.0
494,Gornji Grad - MedveÅ¡Äak,136,270000.0
495,Gornji Grad - MedveÅ¡Äak,140,260000.0
496,Gornji Grad - MedveÅ¡Äak,84,235000.0
497,Gornji Grad - MedveÅ¡Äak,3,210000.0
498,Gornji Grad - MedveÅ¡Äak,140,195000.0
499,Gornji Grad - MedveÅ¡Äak,91,235000.0
500,Gornji Grad - MedveÅ¡Äak,2,620000.0
501,Gornji Grad - MedveÅ¡Äak,94,195000.0
502,Gornji Grad - MedveÅ¡Äak,105,190000.0
503,Gornji Grad - MedveÅ¡Äak,82,173000.0
504,Gornji Grad - MedveÅ¡Äak,2,254000.0
505,Gornji Grad - MedveÅ¡Äak,2,189000.0
506,Gornji Grad - MedveÅ¡Äak,4,252000.0
507,Gornji Grad - MedveÅ¡Äak,90,175500.0
508,Gornji Grad - MedveÅ¡Äak,111,260000.0
509,Podsused - VrapÄe,8,77000.0
510,Gornji Grad - MedveÅ¡Äak,1,165000.0
511,Gornji Grad - MedveÅ¡Äak,42,93500.0
512,Gornji Grad - MedveÅ¡Äak,5642,260000.0
513,Stenjevec,4,95000.0
514,Gornji Grad - MedveÅ¡Äak,4,380000.0
515,Gornji Grad - MedveÅ¡Äak,91,160000.0
516,Gornji Grad - MedveÅ¡Äak,102,240000.0
517,Gornji Grad - MedveÅ¡Äak,2,128000.0
518,Gornji Grad - MedveÅ¡Äak,115,239000.0
519,Gornji Grad - MedveÅ¡Äak,4,125500.0
520,Gornji Grad - MedveÅ¡Äak,125,2900.0
521,Zagreb - Okolica,620,120000.0
522,Gornji Grad - MedveÅ¡Äak,42,83000.0
523,Gornji Grad - MedveÅ¡Äak,1,240000.0
524,Gornji Grad - MedveÅ¡Äak,75,181800.0
525,Gornja Dubrava,95,124000.0
526,Gornja Dubrava,3,130000.0
527,Gornja Dubrava,1,99000.0
528,Gornja Dubrava,61,112000.0
529,Gornja Dubrava,178,399000.0
530,Gornja Dubrava,118,149000.0
531,Gornja Dubrava,1,70400.0
532,Gornja Dubrava,1,138000.0
533,Gornja Dubrava,3,101805.0
534,Gornja Dubrava,126,149000.0
535,Gornja Dubrava,61,101805.0
536,Gornja Dubrava,53,70000.0
537,Gornja Dubrava,49,70400.0
538,Gornja Dubrava,128,154800.0
539,Gornja Dubrava,2,137900.0
540,Gornja Dubrava,133,138000.0
541,Gornja Dubrava,2,105000.0
542,Gornja Dubrava,123,105000.0
543,Gornja Dubrava,110,125000.0
544,Donja Dubrava,88,163077.0
545,Donja Dubrava,6,72500.0
546,Donja Dubrava,90,80000.0
547,Donja Dubrava,89,177408.0
548,Donja Dubrava,140,270000.0
549,Donja Dubrava,2,77000.0
550,Donja Dubrava,87,163936.0
